26,600893,航发动力,57.1700,,57.1700,51.7000,51.9700,10.0100,5.2000,1004186.00,5530400585.0000,3.7700,,3.8300,,152392022586.0000,152365182415.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
27,001896,豫能控股,9.1200,,9.1200,9.1200,8.2900,10.0100,0.8300,260335.00,237425720.6400,1.7100,,4.0400,,13915125730.0000,13915125730.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
28,603533,掌阅科技,37.6200,,37.6200,36.0000,34.2000,10.0000,3.4200,663543.00,2462157867.0000,15.1200,,7.1400,,16511298933.0000,16511298933.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
29,002009,天奇股份,35.6400,,35.6400,32.6800,32.4000,10.0000,3.2400,1103983.00,3829849265.4600,31.1800,,7.1600,,14335591497.0000,12620928359.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
30,603331,百达精工,19.8000,,19.8000,18.1000,18.0000,10.0000,1.8000,272470.00,529055139.0000,13.4800,,3.0200,,4003077593.0000,4003077593.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
31,605289,罗曼股份,89.9800,,89.9800,80.0000,81.8000,10.0000,8.1800,107151.00,944517302.0000,9.8900,,7.6600,,9808494850.0000,9748208250.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
32,603960,克来机电,27.7300,,27.7300,24.7700,25.2100,10.0000,2.5200,289867.00,780909766.0000,11.0600,,6.5000,,7270747767.0000,7270747767.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
33,603163,圣晖集成,128.9900,,128.9900,116.0000,117.2600,10.0000,11.7300,31366.00,395203041.0000,3.1400,,11.5900,,12899000000.0000,12899000000.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
34,002951,金时科技,19.4800,,19.4800,18.6500,17.7100,9.9900,1.7700,360522.00,691967887.9800,8.9900,,4.7000,,7889400000.0000,7813903799.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
35,002169,智光电气,15.3000,,15.3000,13.8300,13.9100,9.9900,1.3900,557856.00,826353654.8100,7.3500,,4.5400,,11975372638.0000,11607711695.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
36,603466,风语筑,11.6800,,11.6800,10.8500,10.6200,9.9800,1.0600,1482971.00,1708631366.0000,24.9300,,3.3000,,6947100702.0000,6947100702.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
37,000798,中水渔业,12.4600,,12.4600,11.3100,11.3300,9.9700,1.1300,433027.00,526750819.7000,11.8400,,11.1300,,4558599552.0000,4558319202.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
38,605007,五洲特纸,16.4300,,16.4300,15.0500,14.9400,9.9700,1.4900,202027.00,318974792.0000,5.0300,,2.2700,,7816243949.0000,6597516612.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
39,002510,天汽模,8.5000,,8.5000,7.6000,7.7300,9.9600,0.7700,1356499.00,1119917853.4600,13.5000,,3.4500,,8628679018.0000,8541199041.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
40,600791,京能置业,7.2900,,7.2900,6.6100,6.6300,9.9500,0.6600,214720.00,153431222.0000,4.7500,,8.3700,,3301495200.0000,3297366844.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
41,300369,绿盟科技,10.8600,,11.9000,10.1100,9.9200,9.4800,0.9400,2262850.00,2543999361.9300,28.0000,,3.5400,,8803353693.0000,8775487378.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
42,300132,青松股份,8.8000,,9.1400,8.0200,8.0500,9.3200,0.7500,638722.00,561637298.0000,12.5700,,3.2300,,4545911797.0000,4471115299.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
43,688629,华丰科技,115.5600,,118.6800,109.8800,105.7600,9.2700,9.8000,282061.00,3260833963.0000,15.5200,,31.6400,,53272331550.0000,21006848911.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
44,688031,星环科技-U,207.5000,,215.8600,186.8800,190.0000,9.2100,17.5000,99221.00,2028368502.0000,8.1900,,28.1000,,25135702570.0000,25135702570.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
45,300935,盈建科,39.2500,,40.5800,35.8600,36.0000,9.0300,3.2500,54352.00,211462985.5000,9.0200,,3.9300,,3117654190.0000,2365740959.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
46,688586,江航装备,16.5500,,17.3100,15.1200,15.2800,8.3100,1.2700,342697.00,563329595.0000,4.3300,,5.3100,,13096663032.0000,13096663032.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
47,600397,江钨装备,15.4900,,15.7400,14.6000,14.3100,8.2500,1.1800,1744624.00,2717326627.0000,17.6200,,98.6300,,15334478572.0000,15334478572.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
48,300589,江龙船艇,21.5800,,22.5800,20.4600,19.9500,8.1700,1.6300,795637.00,1718728311.4500,34.3500,,10.3700,,8150075354.0000,4998077204.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
49,301555,惠柏新材,38.2900,,39.3000,35.4400,35.4100,8.1300,2.8800,77607.00,292525214.3100,16.0500,,3.2000,,3532891943.0000,1851216203.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
50,688563,航材股份,76.3000,,78.8800,70.5400,70.7000,7.9200,5.6000,135706.00,1037015714.0000,11.6000,,3.2900,,34335000000.0000,8926260166.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
51,300100,双林股份,38.1200,,39.3600,35.3000,35.4100,7.6500,2.7100,302965.00,1136664018.6200,5.4900,,7.0800,,21803989673.0000,21034083578.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
52,603090,宏盛股份,82.9000,,83.4500,73.4800,77.0200,7.6300,5.8800,104603.00,822581986.0000,10.4600,,13.5200,,8290000000.0000,8290000000.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
53,002988,豪美新材,37.6500,,38.1800,35.0100,35.0100,7.5400,2.6400,67115.00,246812377.5700,2.6900,,3.5100,,9403894264.0000,9400987571.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
54,001210,金房能源,24.1000,,24.1700,22.1500,22.4100,7.5400,1.6900,62564.00,145862572.8000,6.5600,,2.9100,,3779185492.0000,2296706912.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
55,301193,家联科技,27.0200,,27.4900,24.4100,25.1300,7.5200,1.8900,84128.00,220304708.3400,6.0800,,3.4600,,5273723746.0000,3741689746.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
56,000738,航发控制,29.4500,,30.1500,27.3000,27.4100,7.4400,2.0400,1090928.00,3170201726.4200,8.2900,,3.0900,,38732168829.0000,38732168829.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
57,301356,天振股份,24.6000,,25.4600,22.7300,22.9100,7.3800,1.6900,79134.00,194205935.5400,14.4400,,1.7700,,5313600000.0000,1348326000.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
58,688767,博拓生物,40.2600,,41.3800,37.1400,37.5000,7.3600,2.7600,82002.00,327977590.0000,5.4900,,2.5700,,6012160027.0000,6012160027.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
59,688533,上声电子,34.1500,,34.7900,31.5000,31.8600,7.1900,2.2900,80988.00,271565668.0000,4.9100,,3.3300,,5634284023.0000,5634284023.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
60,688510,航亚科技,44.2800,,44.3500,40.2000,41.3100,7.1900,2.9700,180752.00,770092792.0000,6.9600,,9.6000,,11491661082.0000,11491661082.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
61,605255,天普股份,135.1100,,138.7100,128.7300,126.1000,7.1500,9.0100,27205.00,365041160.0000,2.0300,,22.4500,,18115548800.0000,18115548800.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
62,920119,美德乐,104.4100,,106.7900,96.0000,97.5800,7.0000,6.8300,34630.00,354407516.4700,24.0500,,4.1100,,7530390307.0000,1503504000.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
63,301052,果麦文化,45.7300,,46.3100,42.0100,42.7500,6.9700,2.9800,211978.00,954303047.8600,26.4300,,6.2800,,4525410572.0000,3667359376.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
64,301051,信濠光电,23.2000,,24.1000,21.7300,21.7000,6.9100,1.5000,174072.00,407391995.9300,10.8100,,2.1400,,4710608179.0000,3735384811.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
65,300065,海兰信,28.8100,,30.5000,27.0700,26.9500,6.9000,1.8600,1924182.00,5590528935.1000,29.2900,,11.8200,,20787543200.0000,18925037402.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
66,688646,ST逸飞,44.8100,,45.6000,41.6700,41.9200,6.8900,2.8900,21535.00,95955614.0000,3.6500,,2.8700,,4264236464.0000,2643117312.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
67,000833,粤桂股份,24.0000,,24.7100,22.4000,22.4600,6.8600,1.5400,1069926.00,2574991327.4500,23.5800,,4.9300,,19249973304.0000,10888848624.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
68,603103,横店影视,34.9000,,35.6600,29.5000,32.7300,6.6300,2.1700,415258.00,1327989337.0000,6.5500,,17.2300,,22133580000.0000,22133580000.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
69,300424,航新科技,19.4000,,19.5800,18.1700,18.2000,6.5900,1.2000,278800.00,535564754.1600,11.3700,,6.2600,,4761420531.0000,4758601983.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
70,301363,美好医疗,34.8800,,35.3900,32.3200,32.7300,6.5700,2.1500,251889.00,860119358.7600,6.7500,,5.4300,,19842226758.0000,13017320919.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
71,688579,山大地纬,12.8500,,13.2900,12.2900,12.0600,6.5500,0.7900,214151.00,276388611.0000,5.3500,,3.7300,,5140128500.0000,5140128500.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
72,300567,精测电子,141.1300,,148.1900,130.9200,132.5800,6.4500,8.5500,164175.00,2325254487.4900,7.2300,,11.1700,,39480488060.0000,32043345490.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
73,603297,永新光学,124.5000,,127.8000,116.1600,117.0900,6.3300,7.4100,33050.00,409957861.0000,2.9800,,6.9100,,13811619150.0000,13785772950.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
74,301285,鸿日达,80.0000,,82.6800,74.5000,75.2800,6.2700,4.7200,49178.00,392609077.9800,6.2600,,16.2300,,16533600000.0000,6279984640.0000,,,,,,,,,,2026-02-14,2026-02-14 01:39:40
