id,rank,fund_code,fund_name,date,net_value,accumulated_net_value,daily_growth_rate,weekly_growth_rate,monthly_1_growth_rate,monthly_3_growth_rate,monthly_6_growth_rate,yearly_1_growth_rate,yearly_2_growth_rate,yearly_3_growth_rate,ytd_growth_rate,since_inception_growth_rate,custom_growth_rate,fee_rate,is_checked,update_time
57193,1,022364,永赢科技智选混合发起A,2026-01-29,3.8187,3.8187,-2.27,-1.95,-1.12,1.52,75.65,228.77,,,1.04,281.87,226.106,0.15,0,2026-01-30 11:46:42
57194,2,022365,永赢科技智选混合发起C,2026-01-29,3.7895,3.7895,-2.27,-1.96,-1.17,1.38,75.12,226.71,,,0.99,278.95,224.111,0.0,0,2026-01-30 11:46:42
57195,3,001302,前海开源金银珠宝混合A,2026-01-29,4.057,4.057,2.5,25.18,58.35,67.23,121.09,174.12,222.24,199.41,58.72,305.7,162.08,0.15,0,2026-01-30 11:46:42
57196,4,002207,前海开源金银珠宝混合C,2026-01-29,3.965,3.965,2.51,25.24,58.35,67.23,121.01,173.83,221.57,198.34,58.73,296.5,161.889,0.0,0,2026-01-30 11:46:42
57197,5,001466,华富永鑫灵活配置混合A,2026-01-29,2.82,2.82,2.04,21.55,54.53,65.71,118.54,172.83,218.9,163.7,55.17,182.0,162.619,0.15,0,2026-01-30 11:46:42
57198,6,001467,华富永鑫灵活配置混合C,2026-01-29,2.7391,2.7391,2.05,21.54,54.52,65.66,118.45,172.57,218.31,162.95,55.15,173.91,162.391,0.0,0,2026-01-30 11:46:42
57199,7,011815,恒越优势精选混合A,2026-01-29,1.562,1.562,-2.74,-0.86,3.42,9.51,84.55,166.55,206.33,114.91,5.81,56.2,175.242,0.15,0,2026-01-30 11:46:42
57200,8,018999,万家趋势领先混合A,2026-01-29,2.7009,2.7009,0.86,15.31,38.13,50.89,106.29,159.7,,,35.62,170.09,152.02,0.15,0,2026-01-30 11:46:42
57201,9,019000,万家趋势领先混合C,2026-01-29,2.6815,2.6815,0.86,15.3,37.97,50.58,105.97,158.58,,,35.46,168.15,151.006,0.0,0,2026-01-30 11:46:42
57202,10,021958,南方黄金股A,2026-01-29,2.5935,2.5935,2.52,20.59,48.2,55.0,104.16,158.03,,,47.84,159.35,148.277,0.12,0,2026-01-30 11:46:42
57203,11,021959,南方黄金股C,2026-01-29,2.5869,2.5869,2.52,20.59,48.2,54.99,103.81,157.43,,,47.84,158.69,147.716,0.0,0,2026-01-30 11:46:42
57204,12,021362,易方达中证沪深港黄金产业股票指数发起式A,2026-01-29,2.5339,2.5339,2.33,19.89,47.53,54.07,102.42,156.29,,,46.92,153.39,146.921,0.12,0,2026-01-30 11:46:42
57205,13,021363,易方达中证沪深港黄金产业股票指数发起式C,2026-01-29,2.5256,2.5256,2.34,19.88,47.5,53.95,102.31,155.65,,,46.89,152.56,146.4,0.0,0,2026-01-30 11:46:42
57206,14,018956,中航机遇领航混合发起A,2026-01-29,3.5368,3.5368,-2.05,-0.99,-4.89,6.74,69.86,154.74,338.48,,-1.98,253.68,175.602,0.15,0,2026-01-30 11:46:42
57207,15,020411,永赢中证沪深港黄金产业股票ETF发起联接A,2026-01-29,2.9031,2.9031,2.75,20.43,47.56,53.81,100.2,154.55,,,47.13,190.31,144.987,0.1,0,2026-01-30 11:46:42
57208,16,020412,永赢中证沪深港黄金产业股票ETF发起联接C,2026-01-29,2.8858,2.8858,2.75,20.42,47.52,53.69,99.89,153.76,,,47.1,188.58,144.27,0.0,0,2026-01-30 11:46:42
57209,17,018957,中航机遇领航混合发起C,2026-01-29,3.484,3.484,-2.05,-1.0,-4.94,6.58,69.35,153.22,333.28,,-2.02,248.4,174.007,0.0,0,2026-01-30 11:46:42
57210,18,011369,华商均衡成长混合A,2026-01-29,2.0979,2.0979,-2.02,1.44,3.74,13.78,76.29,152.91,206.93,123.11,6.53,109.79,150.975,0.15,0,2026-01-30 11:46:42
57211,19,021873,中欧中证沪深港黄金产业股票指数发起A,2026-01-29,2.4039,2.4039,2.57,19.85,46.35,52.64,99.64,151.59,,,45.93,140.39,141.963,0.1,0,2026-01-30 11:46:42
57212,20,011370,华商均衡成长混合C,2026-01-29,2.0384,2.0384,-2.01,1.43,3.69,13.62,75.78,151.41,203.33,119.11,6.48,103.84,149.529,0.0,0,2026-01-30 11:46:42
57213,21,021874,中欧中证沪深港黄金产业股票指数发起C,2026-01-29,2.3983,2.3983,2.57,19.84,46.34,52.56,99.54,151.21,,,45.92,139.83,141.521,0.0,0,2026-01-30 11:46:42
57214,22,022083,华安中证有色金属矿业主题指数发起式A,2026-01-29,2.4828,2.4828,1.79,14.46,33.73,42.09,99.29,150.03,,,31.16,148.28,146.407,0.1,0,2026-01-30 11:46:42
57215,23,022084,华安中证有色金属矿业主题指数发起式C,2026-01-29,2.4748,2.4748,1.79,14.46,33.71,42.0,99.05,149.45,,,31.14,147.48,145.833,0.0,0,2026-01-30 11:46:42
57216,24,021074,华夏中证沪深港黄金产业股票ETF发起式联接A,2026-01-29,2.2307,2.2307,2.52,19.12,45.02,51.1,96.76,149.27,,,44.58,123.07,139.963,0.12,0,2026-01-30 11:46:42
57217,25,018132,博时中证有色金属矿业主题指数A,2026-01-29,2.2947,2.2947,1.68,14.54,34.82,43.1,99.61,148.91,182.32,,31.37,129.47,145.213,0.1,0,2026-01-30 11:46:42
57218,26,021075,华夏中证沪深港黄金产业股票ETF发起式联接C,2026-01-29,2.2233,2.2233,2.52,19.12,44.99,51.03,96.56,148.77,,,44.55,122.33,139.477,0.0,0,2026-01-30 11:46:42
57219,27,018133,博时中证有色金属矿业主题指数C,2026-01-29,2.2757,2.2757,1.68,14.54,34.79,43.0,99.33,148.17,180.6,,31.34,127.57,144.489,0.0,0,2026-01-30 11:46:42
57220,28,018167,国泰有色矿业ETF联接A,2026-01-29,2.4133,2.4133,1.79,14.95,35.59,44.19,98.56,147.62,185.29,,32.4,141.33,144.039,0.1,0,2026-01-30 11:46:42
57221,29,018168,国泰有色矿业ETF联接C,2026-01-29,2.4017,2.4017,1.78,14.94,35.56,44.12,98.36,147.11,184.19,,32.38,140.17,143.58,0.0,0,2026-01-30 11:46:42
57222,30,017234,永赢睿恒混合A,2026-01-29,2.4712,2.4712,-3.06,-0.42,10.7,13.84,77.67,144.46,,,12.74,147.12,,1.5,0,2026-01-30 11:46:42
57223,31,001753,红土创新新兴产业混合A,2026-01-29,2.903,2.903,-2.78,0.0,3.53,5.45,73.0,144.15,239.93,91.11,6.14,190.3,159.893,0.15,0,2026-01-30 11:46:42
57224,32,022368,永赢睿恒混合C,2026-01-29,2.4552,2.4552,-3.06,-0.43,10.64,13.67,77.18,143.07,,,12.69,145.52,,0.0,0,2026-01-30 11:46:42
57225,33,165520,中信保诚中证800有色指数(LOF)A,2026-01-29,3.7893,2.9423,1.75,14.61,35.19,41.47,97.89,143.0,187.44,124.36,31.55,312.93,140.453,0.12,0,2026-01-30 11:46:42
57226,34,018489,万家中证工业有色金属主题ETF发起式联接A,2026-01-29,2.179,2.179,2.06,15.6,36.32,42.29,98.18,142.46,162.69,,32.21,117.9,142.354,0.1,0,2026-01-30 11:46:42
57227,35,013081,中信保诚中证800有色指数(LOF)C,2026-01-29,3.7238,3.7238,1.75,14.6,35.15,41.33,97.5,142.04,185.15,121.68,31.51,82.23,139.519,0.0,0,2026-01-30 11:46:42
57228,36,018490,万家中证工业有色金属主题ETF发起式联接C,2026-01-29,2.1677,2.1677,2.06,15.6,36.31,42.22,97.98,141.98,161.67,,32.2,116.77,141.904,0.0,0,2026-01-30 11:46:42
57229,37,004432,南方有色金属ETF联接A,2026-01-29,2.5089,2.5239,1.84,14.51,34.22,42.23,95.02,141.68,179.58,108.43,30.85,153.33,139.009,0.12,0,2026-01-30 11:46:42
57230,38,017192,天弘工业有色金属指数A,2026-01-29,2.3343,2.3343,1.98,15.85,35.57,42.27,99.5,141.5,175.5,,31.43,133.43,141.421,0.1,0,2026-01-30 11:46:42
57231,39,010990,南方有色金属ETF联接E,2026-01-29,2.4702,2.4852,1.84,14.5,34.21,42.19,94.92,141.42,178.72,106.95,30.84,157.52,138.781,0.0,0,2026-01-30 11:46:42
57232,40,017193,天弘工业有色金属指数C,2026-01-29,2.3191,2.3191,1.98,15.85,35.54,42.19,99.27,140.92,174.16,,31.41,131.91,140.87,0.0,0,2026-01-30 11:46:42
57233,41,004433,南方有色金属ETF联接C,2026-01-29,2.4256,2.4406,1.84,14.5,34.18,42.08,94.62,140.71,177.36,105.93,30.81,144.99,138.088,0.0,0,2026-01-30 11:46:42
57234,42,016707,华夏有色金属ETF联接A,2026-01-29,2.3961,2.3961,1.71,15.0,34.33,42.05,97.02,140.28,183.7,116.53,31.39,139.61,137.85,0.12,0,2026-01-30 11:46:42
57235,43,016243,广发成长领航一年持有混合A,2026-01-29,2.5112,2.5612,-0.99,1.33,12.13,16.22,35.37,140.1,184.46,,12.82,161.78,132.648,0.15,0,2026-01-30 11:46:42
57236,44,021534,华夏有色金属ETF联接D,2026-01-29,2.3731,2.3731,1.71,14.99,34.29,41.95,96.73,139.59,,,31.36,136.27,137.168,0.0,0,2026-01-30 11:46:42
57237,45,016708,华夏有色金属ETF联接C,2026-01-29,2.3729,2.3729,1.71,14.99,34.3,41.95,96.74,139.57,182.02,114.59,31.36,137.29,137.148,0.0,0,2026-01-30 11:46:42
57238,46,021673,国泰黄金股ETF联接A,2026-01-29,2.1078,2.1078,2.33,17.87,43.04,48.77,91.86,139.44,,,42.8,110.78,132.675,0.1,0,2026-01-30 11:46:42
57239,47,161810,银华内需精选混合(LOF),2026-01-29,5.993,5.698,2.5,19.6,51.0,57.21,101.51,138.96,161.59,107.37,51.72,499.3,132.107,0.15,0,2026-01-30 11:46:42
57240,48,011630,东财有色增强A,2026-01-29,2.9216,2.9216,1.55,14.31,34.06,42.29,95.35,138.95,179.39,115.36,30.94,192.16,136.97,0.15,0,2026-01-30 11:46:42
57241,49,021674,国泰黄金股ETF联接C,2026-01-29,2.1011,2.1011,2.32,17.87,43.02,48.69,91.67,138.95,,,42.78,110.11,132.217,0.0,0,2026-01-30 11:46:42
57242,50,519770,交银优择回报灵活配置混合A,2026-01-29,3.6466,3.7216,-2.82,0.08,4.36,5.31,75.0,138.75,164.25,160.1,6.14,291.17,142.412,0.08,0,2026-01-30 11:46:42
57243,51,016244,广发成长领航一年持有混合C,2026-01-29,2.4728,2.5228,-1.0,1.32,12.08,16.07,35.04,138.69,181.38,,12.77,157.79,131.449,0.0,0,2026-01-30 11:46:42
57244,52,519771,交银优择回报灵活配置混合C,2026-01-29,3.6383,3.7133,-2.82,0.07,4.35,5.26,74.83,138.28,163.26,158.59,6.12,290.38,141.94,0.0,0,2026-01-30 11:46:42
57245,53,011631,东财有色增强C,2026-01-29,2.8793,2.8793,1.55,14.3,34.03,42.19,95.06,138.21,177.71,113.42,30.91,187.93,136.279,0.0,0,2026-01-30 11:46:42
57246,54,020735,东财有色增强E,2026-01-29,2.9052,2.9052,1.54,14.3,34.02,42.19,95.05,138.19,,,30.9,173.48,136.253,0.0,0,2026-01-30 11:46:42
57247,55,016340,银河价值成长混合A,2026-01-29,1.7445,1.7445,0.45,9.22,33.66,50.63,97.7,138.12,159.29,72.86,30.28,74.45,137.121,0.15,0,2026-01-30 11:46:42
57248,56,009394,银华同力精选混合,2026-01-29,1.9123,1.9123,3.34,21.45,51.69,57.64,100.07,138.11,155.21,101.32,52.92,91.23,131.289,0.15,0,2026-01-30 11:46:42
57249,57,160221,国泰国证有色金属行业指数(LOF)A,2026-01-29,3.0087,2.0727,1.57,14.12,34.17,40.38,94.4,137.67,179.98,114.02,30.89,128.11,135.718,0.0,0,2026-01-30 11:46:42
57250,58,015596,国泰国证有色金属行业指数(LOF)C,2026-01-29,2.9885,2.9885,1.57,14.12,34.15,40.32,94.22,137.2,178.88,112.75,30.87,128.95,135.259,0.0,0,2026-01-30 11:46:42
57251,59,008528,华泰柏瑞质量成长A,2026-01-29,1.8923,1.8923,-1.74,2.78,3.84,11.64,68.7,137.13,140.35,73.11,6.42,89.23,147.004,0.15,0,2026-01-30 11:46:42
57252,60,016341,银河价值成长混合C,2026-01-29,1.711,1.711,0.45,9.2,33.6,50.42,97.14,136.72,156.25,69.78,30.23,71.1,135.772,0.0,0,2026-01-30 11:46:42
57253,61,021875,路博迈资源精选股票发起A,2026-01-29,2.2192,2.2192,-0.53,6.65,24.16,35.23,101.36,136.41,,,22.59,121.92,139.035,0.15,0,2026-01-30 11:46:42
57254,62,014938,同泰产业升级混合A,2026-01-29,2.0463,2.0463,-2.77,-4.57,3.24,-1.17,15.4,136.27,186.36,103.96,0.6,104.63,131.194,0.15,0,2026-01-30 11:46:42
57255,63,011452,华泰柏瑞质量成长C,2026-01-29,1.8582,1.8582,-1.73,2.77,3.81,11.53,68.39,136.17,138.78,71.26,6.38,1.19,146.054,0.0,0,2026-01-30 11:46:42
57256,64,013674,长城价值甄选一年持有混合A,2026-01-29,1.7706,1.7706,0.45,11.99,32.87,45.52,89.96,136.08,145.17,83.88,29.2,77.02,137.505,0.15,0,2026-01-30 11:46:42
57257,65,019164,汇添富有色金属ETF联接A,2026-01-29,2.646,2.646,1.67,14.53,34.02,41.2,94.05,136.06,178.29,,30.67,164.6,133.663,0.1,0,2026-01-30 11:46:42
57258,66,003624,创金合信资源股票发起式A,2026-01-29,5.5247,5.5247,1.35,15.38,35.05,46.8,104.49,135.83,152.72,126.45,31.78,452.47,134.974,0.15,0,2026-01-30 11:46:42
57259,67,010415,华泰柏瑞质量精选混合A,2026-01-29,1.3305,1.3305,-1.11,3.19,2.69,8.72,70.23,135.74,178.06,83.34,5.32,33.05,148.692,0.15,0,2026-01-30 11:46:42
57260,68,021296,鹏华国证有色金属行业ETF发起式联接A,2026-01-29,2.2704,2.2704,1.67,14.38,33.85,40.36,93.27,135.45,,,30.45,127.04,133.508,0.1,0,2026-01-30 11:46:42
57261,69,014939,同泰产业升级混合C,2026-01-29,2.0151,2.0151,-2.78,-4.58,3.21,-1.28,15.16,135.33,184.06,101.49,0.56,101.51,130.271,0.0,0,2026-01-30 11:46:42
57262,70,019888,中欧周期优选混合发起A,2026-01-29,2.5144,2.5144,-0.06,8.91,25.64,40.86,102.71,135.3,153.44,,23.16,151.44,138.061,0.15,0,2026-01-30 11:46:42
57263,71,019165,汇添富有色金属ETF联接C,2026-01-29,2.6233,2.6233,1.67,14.52,33.98,41.06,93.66,135.13,176.11,,30.64,162.33,132.768,0.0,0,2026-01-30 11:46:42
57264,72,021297,鹏华国证有色金属行业ETF发起式联接C,2026-01-29,2.2629,2.2629,1.67,14.38,33.82,40.28,93.03,134.86,,,30.42,126.29,132.952,0.0,0,2026-01-30 11:46:42
57265,73,018993,中欧数字经济混合发起A,2026-01-29,3.1035,3.1035,-2.1,-4.29,0.0,-2.38,48.37,134.79,236.09,,0.83,210.35,127.263,0.15,0,2026-01-30 11:46:42
57266,74,003625,创金合信资源股票发起式C,2026-01-29,5.2709,5.2709,1.35,15.37,35.0,46.63,103.99,134.66,150.22,123.07,31.73,427.09,133.836,0.0,0,2026-01-30 11:46:42
57267,75,010416,华泰柏瑞质量精选混合C,2026-01-29,1.2986,1.2986,-1.11,3.18,2.65,8.59,69.82,134.57,175.3,80.56,5.28,29.86,147.494,0.0,0,2026-01-30 11:46:42
57268,76,021876,路博迈资源精选股票发起C,2026-01-29,2.1959,2.1959,-0.53,6.63,24.03,34.96,100.65,134.53,,,22.47,119.59,137.164,0.0,0,2026-01-30 11:46:42
57269,77,013675,长城价值甄选一年持有混合C,2026-01-29,1.7174,1.7174,0.45,11.97,32.77,45.22,89.18,134.2,141.28,79.49,29.12,71.74,135.648,0.0,0,2026-01-30 11:46:42
57270,78,019889,中欧周期优选混合发起C,2026-01-29,2.4826,2.4826,-0.06,8.9,25.58,40.67,102.12,133.88,150.54,,23.1,148.26,136.663,0.0,0,2026-01-30 11:46:42
57271,79,018994,中欧数字经济混合发起C,2026-01-29,3.0599,3.0599,-2.11,-4.31,-0.06,-2.53,47.92,133.38,232.16,,0.78,205.99,125.94,0.0,0,2026-01-30 11:46:42
57272,80,007113,永赢高端制造混合A,2026-01-29,2.1194,2.1194,-2.18,1.07,5.17,7.61,64.75,132.62,215.72,105.57,7.92,111.92,131.224,0.15,0,2026-01-30 11:46:42
57273,81,020755,永赢融安混合A,2026-01-29,2.5596,2.5596,-2.11,1.78,15.99,15.88,61.99,132.48,,,17.55,155.96,135.995,0.15,0,2026-01-30 11:46:42
57274,82,007114,永赢高端制造混合C,2026-01-29,2.093,2.093,-2.18,1.07,5.16,7.55,64.6,132.17,214.5,104.33,7.91,109.28,130.786,0.0,0,2026-01-30 11:46:42
57275,83,002692,富国创新科技混合A,2026-01-29,2.937,2.937,-2.1,-1.21,1.07,5.69,78.43,131.44,172.2,101.16,2.8,193.7,134.96,0.15,0,2026-01-30 11:46:42
57276,84,008555,华商龙头优势混合,2026-01-29,1.7894,1.7894,-2.57,3.94,10.53,14.61,75.31,131.25,125.68,70.52,13.34,78.94,133.207,0.15,0,2026-01-30 11:46:42
57277,85,017140,华宝中证有色金属ETF发起式联接A,2026-01-29,2.1731,2.1731,1.67,14.1,34.02,40.84,90.42,131.23,165.4,102.19,30.47,117.31,128.868,0.1,0,2026-01-30 11:46:42
57278,86,020758,永赢融安混合C,2026-01-29,2.5381,2.5381,-2.11,1.77,15.93,15.7,61.51,131.14,,,17.49,153.81,134.64,0.0,0,2026-01-30 11:46:42
57279,87,017141,华宝中证有色金属ETF发起式联接C,2026-01-29,2.1532,2.1532,1.66,14.09,33.99,40.73,90.14,130.54,163.84,100.39,30.44,115.32,128.214,0.0,0,2026-01-30 11:46:42
57280,88,011120,富国创新科技混合C,2026-01-29,2.849,2.849,-2.1,-1.21,1.03,5.56,77.95,130.13,169.03,97.57,2.74,13.87,133.716,0.0,0,2026-01-30 11:46:42
57281,89,015368,国泰海通领航成长一年持有混合发起A,2026-01-29,2.4836,2.4836,-2.94,2.87,22.65,19.41,79.84,129.9,229.61,,22.51,148.36,129.495,0.15,0,2026-01-30 11:46:42
57282,90,023036,中欧资源精选混合发起A,2026-01-29,2.298,2.298,-0.42,10.85,30.55,39.43,94.81,129.85,,,27.34,129.8,,0.15,0,2026-01-30 11:46:42
57283,91,005550,汇安成长优选混合A,2026-01-29,2.6926,2.6926,-3.21,-2.9,6.68,5.27,59.19,129.72,284.11,102.63,8.73,169.26,133.429,0.15,0,2026-01-30 11:46:42
57284,92,023037,中欧资源精选混合发起C,2026-01-29,2.2949,2.2949,-0.42,10.84,30.47,39.22,95.18,129.56,,,27.28,129.49,,0.0,0,2026-01-30 11:46:42
57285,93,008988,大成科技创新混合A,2026-01-29,3.16,3.16,-3.16,-1.06,2.17,2.09,57.71,128.99,202.36,149.74,4.97,216.0,125.36,0.15,0,2026-01-30 11:46:42
57286,94,015369,国泰海通领航成长一年持有混合发起C,2026-01-29,2.4548,2.4548,-2.94,2.86,22.61,19.29,79.47,128.99,227.0,,22.46,145.48,128.609,0.0,0,2026-01-30 11:46:42
57287,95,005660,嘉实资源精选股票A,2026-01-29,6.3488,6.3488,0.41,11.51,28.25,40.78,94.21,128.63,175.44,142.24,24.46,534.88,130.104,0.15,0,2026-01-30 11:46:42
57288,96,008989,大成科技创新混合C,2026-01-29,3.0882,3.0882,-3.16,-1.06,2.14,1.98,57.41,128.13,199.94,146.74,4.94,208.82,124.498,0.0,0,2026-01-30 11:46:42
57289,97,016370,信澳业绩驱动混合A,2026-01-29,1.8264,1.8264,-1.75,0.56,0.81,4.2,73.69,128.1,316.99,96.54,3.43,82.64,150.776,0.15,0,2026-01-30 11:46:42
57290,98,005551,汇安成长优选混合C,2026-01-29,2.5214,2.5214,-3.21,-2.91,6.61,5.06,58.56,127.89,278.08,97.82,8.66,152.14,131.619,0.0,0,2026-01-30 11:46:42
57291,99,005661,嘉实资源精选股票C,2026-01-29,6.1286,6.1286,0.41,11.5,28.2,40.61,93.73,127.49,172.72,138.64,24.41,512.86,128.987,0.0,0,2026-01-30 11:46:42
57292,100,016371,信澳业绩驱动混合C,2026-01-29,1.7889,1.7889,-1.76,0.55,0.75,4.05,73.18,126.73,312.09,93.0,3.38,78.89,149.324,0.0,0,2026-01-30 11:46:42
57293,101,018835,广发成长启航混合A,2026-01-29,3.1171,3.1171,-1.98,-1.33,14.39,24.08,57.88,126.14,,,15.17,211.71,122.285,0.15,0,2026-01-30 11:46:42
57294,102,019829,华夏数字产业混合A,2026-01-29,2.5734,2.5734,-2.37,-2.19,-0.17,4.59,63.38,125.94,,,2.16,157.34,123.735,0.15,0,2026-01-30 11:46:42
57295,103,001412,德邦鑫星价值灵活配置混合A,2026-01-29,3.8914,4.0294,-2.21,1.13,-1.21,3.49,71.5,125.82,292.52,217.25,1.81,342.54,145.344,0.15,0,2026-01-30 11:46:42
57296,104,013942,华宝中证稀有金属指数增强发起A,2026-01-29,1.2713,1.2713,-0.73,6.73,22.52,28.34,70.71,125.73,147.43,52.2,20.86,27.13,124.611,0.1,0,2026-01-30 11:46:42
57297,105,002112,德邦鑫星价值灵活配置混合C,2026-01-29,3.7396,3.8876,-2.2,1.13,-1.22,3.47,71.41,125.6,291.75,216.35,1.8,335.71,145.107,0.0,0,2026-01-30 11:46:42
57298,106,013943,华宝中证稀有金属指数增强发起C,2026-01-29,1.2557,1.2557,-0.74,6.73,22.5,28.24,70.45,125.04,145.97,50.82,20.82,25.57,123.992,0.0,0,2026-01-30 11:46:42
57299,107,018836,广发成长启航混合C,2026-01-29,3.0975,3.0975,-1.98,-1.34,14.34,23.92,57.49,124.98,,,15.12,209.75,121.187,0.0,0,2026-01-30 11:46:42
57300,108,020691,博时中证全指通信设备指数发起式A,2026-01-29,2.5982,2.5982,-1.34,-0.3,1.43,7.71,77.0,124.76,,,2.38,159.82,132.668,0.1,0,2026-01-30 11:46:42
57301,109,020899,天弘中证全指通信设备指数发起A,2026-01-29,2.6811,2.6811,-1.34,-0.26,1.45,7.35,78.25,124.64,,,2.37,168.11,132.09,0.1,0,2026-01-30 11:46:42
57302,110,019830,华夏数字产业混合C,2026-01-29,2.5384,2.5384,-2.37,-2.21,-0.23,4.42,62.89,124.54,,,2.1,153.84,122.374,0.0,0,2026-01-30 11:46:42
57303,111,020692,博时中证全指通信设备指数发起式C,2026-01-29,2.5898,2.5898,-1.33,-0.31,1.41,7.66,76.83,124.32,,,2.37,158.98,132.207,0.0,0,2026-01-30 11:46:42
57304,112,020900,天弘中证全指通信设备指数发起C,2026-01-29,2.6718,2.6718,-1.34,-0.27,1.43,7.3,78.07,124.2,,,2.35,167.18,131.646,0.0,0,2026-01-30 11:46:42
57305,113,002482,宝盈互联网沪港深混合,2026-01-29,4.548,4.548,-2.07,1.88,13.28,36.25,81.85,123.82,216.49,74.72,12.8,354.8,124.26,0.15,0,2026-01-30 11:46:42
57306,114,021636,长城周期优选混合发起式A,2026-01-29,1.8928,1.8928,0.76,12.19,35.15,48.18,89.09,123.23,,,32.0,89.28,124.478,0.15,0,2026-01-30 11:46:42
57307,115,018325,国泰海通创新成长混合发起A,2026-01-29,1.7507,1.7507,-2.85,2.47,21.06,17.75,76.11,122.82,190.43,,20.99,75.07,122.086,0.15,0,2026-01-30 11:46:42
57308,116,005009,申万菱信行业轮动股票A,2026-01-29,3.1734,3.1734,0.38,11.05,31.11,45.0,80.59,122.77,138.69,64.46,28.98,217.31,123.212,0.15,0,2026-01-30 11:46:42
57309,117,015789,永赢高端装备智选混合发起A,2026-01-29,1.6173,1.6173,-1.33,0.89,17.01,72.27,91.67,122.55,165.78,82.75,12.07,61.73,119.682,0.1,0,2026-01-30 11:46:42
57310,118,014110,嘉实中证稀有金属主题ETF发起联接A,2026-01-29,1.1453,1.1453,-0.7,6.86,22.49,27.13,67.27,122.13,134.84,47.21,20.94,14.53,120.887,0.1,0,2026-01-30 11:46:42
57311,119,019087,工银中证稀有金属主题ETF发起式联接A,2026-01-29,2.0725,2.0725,-0.7,6.24,22.01,26.67,67.73,122.13,139.04,,20.37,107.25,120.878,0.1,0,2026-01-30 11:46:42
57312,120,015157,申万菱信行业轮动股票C,2026-01-29,3.1176,3.1176,0.38,11.05,31.07,44.87,80.28,121.94,136.36,62.05,28.94,55.09,122.4,0.0,0,2026-01-30 11:46:42
57313,121,018326,国泰海通创新成长混合发起C,2026-01-29,1.732,1.732,-2.85,2.46,21.02,17.63,75.75,121.94,188.14,,20.95,73.2,121.229,0.0,0,2026-01-30 11:46:42
57314,122,021637,长城周期优选混合发起式C,2026-01-29,1.8767,1.8767,0.76,12.18,35.08,47.96,88.58,121.94,,,31.94,87.67,123.204,0.0,0,2026-01-30 11:46:42
57315,123,019088,工银中证稀有金属主题ETF发起式联接C,2026-01-29,2.0674,2.0674,-0.7,6.24,21.99,26.63,67.65,121.92,138.54,,20.36,106.74,120.664,0.0,0,2026-01-30 11:46:42
57316,124,001194,景顺长城稳健回报混合A,2026-01-29,4.59,4.655,-2.86,-5.26,2.32,6.45,66.73,121.85,297.75,218.97,2.02,380.43,129.96,0.1,0,2026-01-30 11:46:42
57317,125,001075,宝盈转型动力混合A,2026-01-29,2.6587,2.6587,-2.62,0.86,3.23,6.51,67.33,121.78,243.9,191.84,4.61,165.87,139.049,0.15,0,2026-01-30 11:46:42
57318,126,015079,永赢成长远航一年持有混合A,2026-01-29,1.8004,1.8004,-1.87,2.89,14.82,15.32,67.12,121.7,191.52,83.86,15.98,80.04,123.209,0.15,0,2026-01-30 11:46:42
57319,127,015790,永赢高端装备智选混合发起C,2026-01-29,1.5947,1.5947,-1.33,0.88,16.97,72.12,91.28,121.64,163.72,80.58,12.03,59.47,118.842,0.0,0,2026-01-30 11:46:42
57320,128,008382,融通产业趋势股票,2026-01-29,1.3755,1.4305,-2.5,-1.01,-0.22,9.0,59.59,121.57,119.76,54.45,2.34,44.25,119.098,0.15,0,2026-01-30 11:46:42
57321,129,002152,华宝核心优势混合A,2026-01-29,4.726,4.726,-1.07,-1.11,-0.86,0.96,61.79,121.57,206.29,128.31,1.55,372.6,133.152,0.15,0,2026-01-30 11:46:42
57322,130,014111,嘉实中证稀有金属主题ETF发起联接C,2026-01-29,1.1335,1.1335,-0.7,6.85,22.46,27.05,67.06,121.56,133.66,46.11,20.91,13.35,120.354,0.0,0,2026-01-30 11:46:42
57323,131,001407,景顺长城稳健回报混合C,2026-01-29,4.444,4.507,-2.88,-5.29,2.28,6.37,66.57,121.43,296.08,216.3,2.0,356.29,129.546,0.0,0,2026-01-30 11:46:42
57324,132,007817,国泰中证全指通信设备ETF联接A,2026-01-29,2.9876,2.9876,-1.32,-0.31,1.52,6.69,74.57,121.25,225.73,245.39,2.46,198.76,128.847,0.1,0,2026-01-30 11:46:42
57325,133,008009,华商高端装备制造股票A,2026-01-29,4.3361,4.3361,-2.34,4.26,9.55,13.64,70.06,120.99,169.46,82.3,12.0,333.61,125.311,0.15,0,2026-01-30 11:46:42
57326,134,015389,宝盈转型动力混合C,2026-01-29,2.6097,2.6097,-2.62,0.85,3.18,6.37,66.9,120.66,240.51,187.57,4.57,199.9,137.873,0.0,0,2026-01-30 11:46:42
57327,135,007818,国泰中证全指通信设备ETF联接C,2026-01-29,2.928,2.928,-1.32,-0.32,1.49,6.61,74.32,120.6,223.79,242.3,2.44,192.8,128.18,0.0,0,2026-01-30 11:46:42
57328,136,022500,国泰中证全指通信设备ETF联接E,2026-01-29,2.9772,2.9772,-1.33,-0.32,1.49,6.61,74.31,120.6,,,2.44,116.27,128.173,0.0,0,2026-01-30 11:46:42
57329,137,016461,华宝核心优势混合C,2026-01-29,4.65,4.65,-1.08,-1.11,-0.92,0.8,61.35,120.27,203.52,125.18,1.51,141.31,131.805,0.0,0,2026-01-30 11:46:42
